salary,age,comten,ceoten,sales,profits,mktval
1161000,49,9,2,6200,966,23200
600000,43,10,10,283,48,1100
379000,51,9,3,169,40,1100
651000,55,22,22,1100,-54,1000
497000,44,8,6,351,28,387
1067000,64,7,7,19000,614,3900
945000,59,35,10,536,24,623
1261000,63,32,8,4800,191,2100
503000,47,4,4,610,7,454
1094000,64,39,5,2900,230,3900
601000,54,26,7,1200,34,533
355000,66,39,8,560,8,477
1200000,72,37,37,796,35,678
697000,51,25,1,8200,234,5700
1041000,63,21,11,4300,91,1400
245000,44,7,7,135,24,558
817000,68,38,4,1300,55,847
1675000,71,31,12,674,115,1200
971000,72,33,24,1400,69,609
609000,58,36,1,1100,69,880
470000,60,20,6,2300,210,2200
867000,59,36,14,884,81,1500
752000,54,32,4,1600,193,3200
246000,51,8,8,78,13,458
825000,56,4,4,10700,295,5900
358000,50,23,4,99,25,2300
1162000,58,24,6,3800,226,1800
270000,43,15,2,150,28,713
829000,56,14,8,2200,184,1500
300000,77,45,26,6900,483,4700
1627000,62,13,4,8300,596,9100
1237000,63,37,9,4600,108,6200
540000,61,37,1,5200,549,5600
1798000,66,21,14,24300,338,12500
474000,40,18,1,2700,117,2000
1336000,60,21,13,4500,562,4300
541000,51,30,4,1400,82,1200
129000,66,4,4,59,28,412
1700000,54,21,5,6800,1200,20400
1750000,66,31,24,16200,1400,17900
624000,61,21,13,1100,109,934
791000,66,14,8,2300,-60,487
1487000,51,3,3,22200,182,2800
2021000,56,34,3,51300,2700,42900
1550000,47,19,3,1100,120,4900
401000,64,44,8,571,57,670
1295000,62,8,8,10700,1300,16400
449000,56,31,1,661,37,538
456000,56,9,3,381,34,6700
1142000,53,30,1,28000,1900,26300
577000,64,26,2,3000,287,5700
600000,56,18,7,11700,-40,4000
649000,44,4,4,336,17,475
822000,60,22,20,896,77,752
1080000,52,18,5,388,55,1600
1738000,54,34,12,10700,842,15400
581000,54,19,19,408,23,403
912000,54,9,9,2600,239,2400
650000,69,37,13,261,40,817
2199000,52,8,8,5600,475,6300
609000,53,15,15,567,34,498
1946000,73,25,21,7800,484,8000
552000,52,30,1,2800,308,3500
481000,59,26,4,611,90,667
526000,45,8,7,2400,106,2000
471000,60,3,2,160,7,425
630000,56,29,1,1700,-55,420
622000,57,35,4,2500,143,1200
999000,52,28,17,159,21,398
585000,60,36,10,1700,33,449
1107000,57,17,6,2200,149,1100
1099000,59,34,10,8600,182,1800
425000,86,13,13,36,11,644
2792000,40,11,11,534,35,888
350000,54,31,4,1000,46,812
363000,58,36,6,717,80,880
2265000,63,35,6,18000,1700,18800
377000,45,7,5,238,57,1200
